ID,CQ_text,Story,Annotations,Ontology
10,Which is the physical realization of an instrument?,"Sophia’s original qualifications, and her Ph.D., were in music and she is also a practising musician. She is a musicologist working in the music department of a university. She has a particular interest in late 16th to 18th century music, specifically that of a particular composer living and working in Rome, Wien (Haydn, Mozart, Beethoven) London and Paris. As musician and historian, Sophia needs to study the instrumentation of a musical composition of the 18th century in order to organize a music festival that compares philological and modern performances and that proposes music compositions of that time with a completely new orchestration. To do this, she needs detailed informations about musical instruments, ancient and modern: how they were used in the original compositions and in the 18th century, to which instrument family each instrument belongs, in which instruments combination they have been used in musical compositions from any era. For each instrument Sophia will have to take into account these important properties: the timbre or range of timbres; the range of pitches; the dynamic range. Sophia is also interested to know the instrument's notation.",yes,/content/OntoEval-main/OntologyFiles/Memoryless CQbyCQ/MINSTCQ1.ttl
11,Which is the physical realization of an instrument?,"Sophia’s original qualifications, and her Ph.D., were in music and she is also a practising musician. She is a musicologist working in the music department of a university. She has a particular interest in late 16th to 18th century music, specifically that of a particular composer living and working in Rome, Wien (Haydn, Mozart, Beethoven) London and Paris. As musician and historian, Sophia needs to study the instrumentation of a musical composition of the 18th century in order to organize a music festival that compares philological and modern performances and that proposes music compositions of that time with a completely new orchestration. To do this, she needs detailed informations about musical instruments, ancient and modern: how they were used in the original compositions and in the 18th century, to which instrument family each instrument belongs, in which instruments combination they have been used in musical compositions from any era. For each instrument Sophia will have to take into account these important properties: the timbre or range of timbres; the range of pitches; the dynamic range. Sophia is also interested to know the instrument's notation.",yes,/content/OntoEval-main/OntologyFiles/OntoGenia/MINSTCQ1.ttl
12,Which are the parts of an instrument?,"Sophia’s original qualifications, and her Ph.D., were in music and she is also a practising musician. She is a musicologist working in the music department of a university. She has a particular interest in late 16th to 18th century music, specifically that of a particular composer living and working in Rome, Wien (Haydn, Mozart, Beethoven) London and Paris. As musician and historian, Sophia needs to study the instrumentation of a musical composition of the 18th century in order to organize a music festival that compares philological and modern performances and that proposes music compositions of that time with a completely new orchestration. To do this, she needs detailed informations about musical instruments, ancient and modern: how they were used in the original compositions and in the 18th century, to which instrument family each instrument belongs, in which instruments combination they have been used in musical compositions from any era. For each instrument Sophia will have to take into account these important properties: the timbre or range of timbres; the range of pitches; the dynamic range. Sophia is also interested to know the instrument's notation.",yes,/content/OntoEval-main/OntologyFiles/Memoryless CQbyCQ/MINSTCQ2.ttl
13,Which are the parts of an instrument?,"Sophia’s original qualifications, and her Ph.D., were in music and she is also a practising musician. She is a musicologist working in the music department of a university. She has a particular interest in late 16th to 18th century music, specifically that of a particular composer living and working in Rome, Wien (Haydn, Mozart, Beethoven) London and Paris. As musician and historian, Sophia needs to study the instrumentation of a musical composition of the 18th century in order to organize a music festival that compares philological and modern performances and that proposes music compositions of that time with a completely new orchestration. To do this, she needs detailed informations about musical instruments, ancient and modern: how they were used in the original compositions and in the 18th century, to which instrument family each instrument belongs, in which instruments combination they have been used in musical compositions from any era. For each instrument Sophia will have to take into account these important properties: the timbre or range of timbres; the range of pitches; the dynamic range. Sophia is also interested to know the instrument's notation.",yes,/content/OntoEval-main/OntologyFiles/OntoGenia/MINSTCQ2.ttl
14,Who invented an instrument?,"Sophia’s original qualifications, and her Ph.D., were in music and she is also a practising musician. She is a musicologist working in the music department of a university. She has a particular interest in late 16th to 18th century music, specifically that of a particular composer living and working in Rome, Wien (Haydn, Mozart, Beethoven) London and Paris. As musician and historian, Sophia needs to study the instrumentation of a musical composition of the 18th century in order to organize a music festival that compares philological and modern performances and that proposes music compositions of that time with a completely new orchestration. To do this, she needs detailed informations about musical instruments, ancient and modern: how they were used in the original compositions and in the 18th century, to which instrument family each instrument belongs, in which instruments combination they have been used in musical compositions from any era. For each instrument Sophia will have to take into account these important properties: the timbre or range of timbres; the range of pitches; the dynamic range. Sophia is also interested to know the instrument's notation.",yes,/content/OntoEval-main/OntologyFiles/Memoryless CQbyCQ/MINSTCQ3.ttl
15,Who invented an instrument?,"Sophia’s original qualifications, and her Ph.D., were in music and she is also a practising musician. She is a musicologist working in the music department of a university. She has a particular interest in late 16th to 18th century music, specifically that of a particular composer living and working in Rome, Wien (Haydn, Mozart, Beethoven) London and Paris. As musician and historian, Sophia needs to study the instrumentation of a musical composition of the 18th century in order to organize a music festival that compares philological and modern performances and that proposes music compositions of that time with a completely new orchestration. To do this, she needs detailed informations about musical instruments, ancient and modern: how they were used in the original compositions and in the 18th century, to which instrument family each instrument belongs, in which instruments combination they have been used in musical compositions from any era. For each instrument Sophia will have to take into account these important properties: the timbre or range of timbres; the range of pitches; the dynamic range. Sophia is also interested to know the instrument's notation.",yes,/content/OntoEval-main/OntologyFiles/OntoGenia/MINSTCQ3.ttl
16,When was an instrument invented?,"Sophia’s original qualifications, and her Ph.D., were in music and she is also a practising musician. She is a musicologist working in the music department of a university. She has a particular interest in late 16th to 18th century music, specifically that of a particular composer living and working in Rome, Wien (Haydn, Mozart, Beethoven) London and Paris. As musician and historian, Sophia needs to study the instrumentation of a musical composition of the 18th century in order to organize a music festival that compares philological and modern performances and that proposes music compositions of that time with a completely new orchestration. To do this, she needs detailed informations about musical instruments, ancient and modern: how they were used in the original compositions and in the 18th century, to which instrument family each instrument belongs, in which instruments combination they have been used in musical compositions from any era. For each instrument Sophia will have to take into account these important properties: the timbre or range of timbres; the range of pitches; the dynamic range. Sophia is also interested to know the instrument's notation.",yes,/content/OntoEval-main/OntologyFiles/Memoryless CQbyCQ/MINSTCQ4.ttl
17,When was an instrument invented?,"Sophia’s original qualifications, and her Ph.D., were in music and she is also a practising musician. She is a musicologist working in the music department of a university. She has a particular interest in late 16th to 18th century music, specifically that of a particular composer living and working in Rome, Wien (Haydn, Mozart, Beethoven) London and Paris. As musician and historian, Sophia needs to study the instrumentation of a musical composition of the 18th century in order to organize a music festival that compares philological and modern performances and that proposes music compositions of that time with a completely new orchestration. To do this, she needs detailed informations about musical instruments, ancient and modern: how they were used in the original compositions and in the 18th century, to which instrument family each instrument belongs, in which instruments combination they have been used in musical compositions from any era. For each instrument Sophia will have to take into account these important properties: the timbre or range of timbres; the range of pitches; the dynamic range. Sophia is also interested to know the instrument's notation.",yes,/content/OntoEval-main/OntologyFiles/OntoGenia/MINSTCQ4.ttl
18,When was an instrument realization built?,"Sophia’s original qualifications, and her Ph.D., were in music and she is also a practising musician. She is a musicologist working in the music department of a university. She has a particular interest in late 16th to 18th century music, specifically that of a particular composer living and working in Rome, Wien (Haydn, Mozart, Beethoven) London and Paris. As musician and historian, Sophia needs to study the instrumentation of a musical composition of the 18th century in order to organize a music festival that compares philological and modern performances and that proposes music compositions of that time with a completely new orchestration. To do this, she needs detailed informations about musical instruments, ancient and modern: how they were used in the original compositions and in the 18th century, to which instrument family each instrument belongs, in which instruments combination they have been used in musical compositions from any era. For each instrument Sophia will have to take into account these important properties: the timbre or range of timbres; the range of pitches; the dynamic range. Sophia is also interested to know the instrument's notation.",yes,/content/OntoEval-main/OntologyFiles/Memoryless CQbyCQ/MINSTCQ5.ttl
19,When was an instrument realization built?,"Sophia’s original qualifications, and her Ph.D., were in music and she is also a practising musician. She is a musicologist working in the music department of a university. She has a particular interest in late 16th to 18th century music, specifically that of a particular composer living and working in Rome, Wien (Haydn, Mozart, Beethoven) London and Paris. As musician and historian, Sophia needs to study the instrumentation of a musical composition of the 18th century in order to organize a music festival that compares philological and modern performances and that proposes music compositions of that time with a completely new orchestration. To do this, she needs detailed informations about musical instruments, ancient and modern: how they were used in the original compositions and in the 18th century, to which instrument family each instrument belongs, in which instruments combination they have been used in musical compositions from any era. For each instrument Sophia will have to take into account these important properties: the timbre or range of timbres; the range of pitches; the dynamic range. Sophia is also interested to know the instrument's notation.",yes,/content/OntoEval-main/OntologyFiles/OntoGenia/MINSTCQ5.ttl
20,Who built an instrument realization?,"Sophia’s original qualifications, and her Ph.D., were in music and she is also a practising musician. She is a musicologist working in the music department of a university. She has a particular interest in late 16th to 18th century music, specifically that of a particular composer living and working in Rome, Wien (Haydn, Mozart, Beethoven) London and Paris. As musician and historian, Sophia needs to study the instrumentation of a musical composition of the 18th century in order to organize a music festival that compares philological and modern performances and that proposes music compositions of that time with a completely new orchestration. To do this, she needs detailed informations about musical instruments, ancient and modern: how they were used in the original compositions and in the 18th century, to which instrument family each instrument belongs, in which instruments combination they have been used in musical compositions from any era. For each instrument Sophia will have to take into account these important properties: the timbre or range of timbres; the range of pitches; the dynamic range. Sophia is also interested to know the instrument's notation.",no,/content/OntoEval-main/OntologyFiles/Memoryless CQbyCQ/MINSTCQ7.ttl
21,Who built an instrument realization?,"Sophia’s original qualifications, and her Ph.D., were in music and she is also a practising musician. She is a musicologist working in the music department of a university. She has a particular interest in late 16th to 18th century music, specifically that of a particular composer living and working in Rome, Wien (Haydn, Mozart, Beethoven) London and Paris. As musician and historian, Sophia needs to study the instrumentation of a musical composition of the 18th century in order to organize a music festival that compares philological and modern performances and that proposes music compositions of that time with a completely new orchestration. To do this, she needs detailed informations about musical instruments, ancient and modern: how they were used in the original compositions and in the 18th century, to which instrument family each instrument belongs, in which instruments combination they have been used in musical compositions from any era. For each instrument Sophia will have to take into account these important properties: the timbre or range of timbres; the range of pitches; the dynamic range. Sophia is also interested to know the instrument's notation.",no,/content/OntoEval-main/OntologyFiles/OntoGenia/MINSTCQ7.ttl
22,Which water bodies belong to a specific water basin?,"Sage, a water resource manager with a background in environmental science, is tasked with overseeing the sustainability and conservation efforts of water basins in her region. Her responsibilities include not only maintaining current water quality and usage standards but also planning for future water needs and conservation efforts. Sage needs detailed information on various water basins, including which water bodies belong to a specific basin, the sub-water basins contained within them, the classification of different types of water bodies, especially coastal ones, and a comprehensive list of all water body types for planning and reporting purposes.


Moreover, having a list of all types of water bodies available at her disposal enables Sage to communicate effectively with local stakeholders, government entities, and international conservation bodies, providing reports, data analysis, and strategic planning documents that are based on comprehensive and accurate water body classifications.",yes,/content/OntoEval-main/OntologyFiles/Memoryless CQbyCQ/WHOWHYCQ1.ttl
23,Which water bodies belong to a specific water basin?,"Sage, a water resource manager with a background in environmental science, is tasked with overseeing the sustainability and conservation efforts of water basins in her region. Her responsibilities include not only maintaining current water quality and usage standards but also planning for future water needs and conservation efforts. Sage needs detailed information on various water basins, including which water bodies belong to a specific basin, the sub-water basins contained within them, the classification of different types of water bodies, especially coastal ones, and a comprehensive list of all water body types for planning and reporting purposes.


Moreover, having a list of all types of water bodies available at her disposal enables Sage to communicate effectively with local stakeholders, government entities, and international conservation bodies, providing reports, data analysis, and strategic planning documents that are based on comprehensive and accurate water body classifications.",yes,/content/OntoEval-main/OntologyFiles/OntoGenia/WHOWHYCQ1.ttl
24,What types of water bodies can be listed?,"Sage, a water resource manager with a background in environmental science, is tasked with overseeing the sustainability and conservation efforts of water basins in her region. Her responsibilities include not only maintaining current water quality and usage standards but also planning for future water needs and conservation efforts. Sage needs detailed information on various water basins, including which water bodies belong to a specific basin, the sub-water basins contained within them, the classification of different types of water bodies, especially coastal ones, and a comprehensive list of all water body types for planning and reporting purposes.


Moreover, having a list of all types of water bodies available at her disposal enables Sage to communicate effectively with local stakeholders, government entities, and international conservation bodies, providing reports, data analysis, and strategic planning documents that are based on comprehensive and accurate water body classifications.",yes,/content/OntoEval-main/OntologyFiles/Memoryless CQbyCQ/WHOWHYCQ4.ttl
25,Who is the manufacturer of a certain product?,"An inventory consists of products (materials) and their quantities and locations, and is produced before dismantling. A product can be resold, refurbished, or enter into a take-back system, after dismantling, by some actors (e.g. building owner, or manufacturer).",yes,/content/OntoEval-main/OntologyFiles/AllCombined.ttl
26,Who is the manufacturer of a certain product?,"An inventory consists of products (materials) and their quantities and locations, and is produced before dismantling. A product can be resold, refurbished, or enter into a take-back system, after dismantling, by some actors (e.g. building owner, or manufacturer).",no,/content/OntoEval-main/OntologyFiles/Actor.ttl
27,What are the roles of this actor in this network?,"There are several actors involved in a construction use case/circular value flow, each holding some roles in a certain material flow.",yes,/content/OntoEval-main/OntologyFiles/AllCombined.ttl
28,What are the roles of this actor in this network?,"There are several actors involved in a construction use case/circular value flow, each holding some roles in a certain material flow.",yes,/content/OntoEval-main/OntologyFiles/Memoryless CQbyCQ/cq2_CQbyCQ.ttl
29,What are the roles of this actor in this network?,"There are several actors involved in a construction use case/circular value flow, each holding some roles in a certain material flow.",yes,/content/OntoEval-main/OntologyFiles/OntoGenia/cq2.ttl
30,Who viewed a product?,"A fiber manufacturer or transformation actor will have a library of current and past fibers (products) that they share with others, and should be able to trace the history of those, e.g. when they were uploaded, edited, viewed. Other actors can view the products and contact the manufacturer/transformation actor. The information should also include received certificates, and when they were received.",yes,/content/OntoEval-main/OntologyFiles/AllCombined.ttl
31,Who viewed a product?,"A fiber manufacturer or transformation actor will have a library of current and past fibers (products) that they share with others, and should be able to trace the history of those, e.g. when they were uploaded, edited, viewed. Other actors can view the products and contact the manufacturer/transformation actor. The information should also include received certificates, and when they were received.",no,/content/OntoEval-main/OntologyFiles/Actor.ttl
32,What are the actors involved in the process?,A circular value network has some process which outlines work done by different actors in this network.,yes,/content/OntoEval-main/OntologyFiles/AllCombined.ttl
33,What are the actors involved in the process?,A circular value network has some process which outlines work done by different actors in this network.,yes,/content/OntoEval-main/OntologyFiles/ActorODP.ttl
34,What CVN:s are the actor participating in?,"Actors collaborate to achieve the value proposition of the circular value network. Each actor is responsible for one or more pieces of work (in a step) and holds one or more competencies to do that work. Also, actors might or might not hold the necessary infrastructure and resources to perform the work. Each actor is of a certain type, and has a role in the network.",yes,/content/OntoEval-main/OntologyFiles/AllCombined.ttl
35,What are the actors involved in the process?,A circular value network has some process which outlines work done by different actors in this network,yes,/content/OntoEval-main/OntologyFiles/AllCombined.ttl
36,What are the actors involved in the process?,A circular value network has some process which outlines work done by different actors in this network,yes,/content/OntoEval-main/OntologyFiles/Memoryless CQbyCQ/cq4_CQbyCQ.ttl
37,What are the actors involved in the process?,A circular value network has some process which outlines work done by different actors in this network,yes,/content/OntoEval-main/OntologyFiles/OntoGenia/cq4.ttl
38,What actors hold this information?,"In each phase in a circular value network there is work done, including decisions being made. This work could require information to be executed",yes,/content/OntoEval-main/OntologyFiles/AllCombined.ttl
39,What actors hold this information?,"A circular value network consists of one or many actors that are working together towards a common goal. A circular value network holds a value proposition of achieving beneficial outcomes that the actors involved in the network would not be able to achieve in solitude. To reach this goal actors make use of inputs in the form of competencies and resources according to a specified logic. The circular value network outputs are the value proposition in it self, but also the possible secondary values in products, materials or competencies that could be useful in other contexts.",no,/content/OntoEval-main/OntologyFiles/ActorODP.ttl
40,What is the type of this actor?,"Actors collaborate to achieve the value proposition of the circular value network. Each actor is responsible for one or more pieces of work (in a step) and holds one or more competencies to do that work. Also, actors might or might not hold the necessary infrastructure and resources to perform the work. Each actor is of a certain type, and has a role in the network.",yes,/content/OntoEval-main/OntologyFiles/AllCombined.ttl
41,What is the type of this actor?,"Actors collaborate to achieve the value proposition of the circular value network. Each actor is responsible for one or more pieces of work (in a step) and holds one or more competencies to do that work. Also, actors might or might not hold the necessary infrastructure and resources to perform the work. Each actor is of a certain type, and has a role in the network.",yes,/content/OntoEval-main/OntologyFiles/ActorODP.ttl
42,What is the type of this actor?,"Actors collaborate to achieve the value proposition of the circular value network. Each actor is responsible for one or more pieces of work (in a step) and holds one or more competencies to do that work. Also, actors might or might not hold the necessary infrastructure and resources to perform the work. Each actor is of a certain type, and has a role in the network.",yes,/content/OntoEval-main/OntologyFiles/Memoryless CQbyCQ/cq6_CQbyCQ.ttl
43,What is the type of this actor?,"Actors collaborate to achieve the value proposition of the circular value network. Each actor is responsible for one or more pieces of work (in a step) and holds one or more competencies to do that work. Also, actors might or might not hold the necessary infrastructure and resources to perform the work. Each actor is of a certain type, and has a role in the network.",yes,/content/OntoEval-main/OntologyFiles/OntoGenia/cq6.ttl
44,What actors hold this competency?,For each piece of work an actor does for a certain part of a circular value network there are specific competencies tied to being able to do that work.,yes,/content/OntoEval-main/OntologyFiles/AllCombined.ttl
45,What actors hold this competency?,For each piece of work an actor does for a certain part of a circular value network there are specific competencies tied to being able to do that work.,yes,/content/OntoEval-main/OntologyFiles/ActorODP.ttl
46,What actors hold this competency?,For each piece of work an actor does for a certain part of a circular value network there are specific competencies tied to being able to do that work.,yes,/content/OntoEval-main/OntologyFiles/Memoryless CQbyCQ/cq7_CQbyCQ.ttl
47,What actors hold this competency?,For each piece of work an actor does for a certain part of a circular value network there are specific competencies tied to being able to do that work.,yes,/content/OntoEval-main/OntologyFiles/OntoGenia/cq7.ttl
48,What are the actors involved in this circular value network (CVN)?,"A circular value network consists of one or many actors that are working together towards a common goal. A circular value network holds a value proposition of achieving beneficial outcomes that the actors involved in the network would not be able to achieve in solitude. To reach this goal actors make use of inputs in the form of competencies and resources according to a specified logic. The circular value network outputs are the value proposition in it self, but also the possible secondary values in products, materials or competencies that could be useful in other contexts.",yes,/content/OntoEval-main/OntologyFiles/AllCombined.ttl
49,What are the actors involved in this circular value network?,"A circular value network consists of one or many actors that are working together towards a common goal. A circular value network holds a value proposition of achieving beneficial outcomes that the actors involved in the network would not be able to achieve in solitude. To reach this goal actors make use of inputs in the form of competencies and resources according to a specified logic. The circular value network outputs are the value proposition in it self, but also the possible secondary values in products, materials or competencies that could be useful in other contexts.",yes,/content/OntoEval-main/OntologyFiles/Memoryless CQbyCQ/cq8_CQbyCQ.ttl
50,What are the actors involved in this circular value network?,"A circular value network consists of one or many actors that are working together towards a common goal. A circular value network holds a value proposition of achieving beneficial outcomes that the actors involved in the network would not be able to achieve in solitude. To reach this goal actors make use of inputs in the form of competencies and resources according to a specified logic. The circular value network outputs are the value proposition in it self, but also the possible secondary values in products, materials or competencies that could be useful in other contexts.",yes,/content/OntoEval-main/OntologyFiles/OntoGenia/cq8.ttl
51,What CVN:s are this process used in?,A circular value network has some process which outlines work done by different actors in this network,yes,/content/OntoEval-main/OntologyFiles/Memoryless CQbyCQ/cq9_CQbyCQ.ttl
52,What CVN:s are this process used in?,A circular value network has some process which outlines work done by different actors in this network,yes,/content/OntoEval-main/OntologyFiles/OntoGenia/cq9.ttl
53,What are the actors involved in this value network?,"There are several actors involved in a construction use case/circular value flow, each holding some roles in a certain material flow.",yes,/content/OntoEval-main/OntologyFiles/Memoryless CQbyCQ/cq11_CQbyCQ.ttl
